Package name,Package version,Requirements,Status
Package name,Package version,Requirements,Status
python-retrying,1.2.3, >=1.2.3; !=1.3.0;,All OK
python-glanceclient,0.15.0, <0.18.0; >=0.15.0;,All OK
python-glance-store,0.1.10, <0.5.0; >=0.3.0;,The dependency wrong on 1 border
python-openstackclient,0.4.1, <1.1.0; >=1.0.0;,The dependency wrong on 1 border
python-django-pyscss,1.0.3, >=1.0.3;,All OK
python-oslo.serialization,1.2.0, <1.5.0; >=1.4.0;,The dependency wrong on 1 border
python-dogpile.cache,0.5.3, >=0.5.3;,All OK
python-requests-mock,0.4.0, >=0.6.0;,The dependency wrong on 1 border
python-kombu,3.0.16, >=2.5.0;,All OK
python-migrate,0.9.1, >=0.9.5;,The dependency wrong on 1 border
python-heatclient,0.2.12, <0.5.0; >=0.3.0;,The dependency wrong on 1 border
python-oslo.rootwrap,1.5.0, <1.7.0; >=1.6.0;,The dependency wrong on 1 border
python-saharaclient,0.7.6, >=0.8.0; <0.9.0;,The dependency wrong on 1 border
python-oslo.context,0.1.0, >=0.2.0; <0.3.0;,The dependency wrong on 1 border
python-neutronclient,2.3.9, <2.5.0; >=2.3.11;,The dependency wrong on 1 border
python-troveclient,1.0.7, <1.1.0; >=1.0.7;,All OK
python-paramiko,1.14.0, >=1.13.0;,All OK
websockify,0.6.0, <0.7; >=0.6.0;,All OK
python-pecan,0.6.1, >=0.8.0;,The dependency wrong on 1 border
python-memcache,1.53, >=1.48;,All OK
python-rfc3986,0.2.0, >=0.2.0;,All OK
python-eventlet,0.15.2, >=0.16.1; !=0.17.0;,The dependency wrong on 1 border
python-pyscss,1.2.1, >=1.2.1; <1.3;,All OK
python-netifaces,0.10.4, >=0.10.4;,All OK
python-swiftclient,2.3.1, <2.5.0; >=2.2.0;,All OK
python-keystoneclient,0.11.1, >=1.1.0; <1.4.0;,The dependency wrong on 1 border
python-ldappool,1.0, >=1.0;,All OK
python-ceilometerclient,1.0.12, <1.1.0; >=1.0.13;,The dependency wrong on 1 border
python-stevedore,1.1.0, <1.4.0; >=1.3.0;,The dependency wrong on 1 border
python-sqlalchemy,0.9.7, >=0.9.7; <=0.9.99;,All OK
python-boto,2.32.1, >=2.32.1;,All OK
python-cliff,1.7.0, >=1.10.0; <1.11.0;,The dependency wrong on 1 border
python-oslo.db,1.0.3, <1.8.0; >=1.7.0;,The dependency wrong on 1 border
python-rtslib-fb,2.1.45, >=2.1.41;,All OK
python-zake,0.1.6, >=0.1.6;,All OK
python-xstatic-jquery-ui,1.10.4.1, >=1.10.1;,All OK
python-hacking,0.9.2, >=0.10.0; <0.11;,The dependency wrong on 1 border
python-xstatic,1.0.0, >=1.0.0;,All OK
python-oslo.config,1.6.0, <1.10.0; >=1.9.3;,The dependency wrong on 1 border
python-novaclient,2.20.0, <2.24.0; >=2.22.0;,The dependency wrong on 1 border
python-oslo.utils,1.2.1, <1.5.0; >=1.4.0;,The dependency wrong on 1 border
python-msgpack,0.4.2, >=0.4.0;,All OK
python-oslotest,1.1.0, >=1.5.1; <1.6.0;,The dependency wrong on 1 border
python-cinderclient,1.1.1, <1.2.0; >=1.1.0;,All OK
python-oslo.concurrency,1.7.0, <1.9.0; >=1.8.0;,The dependency wrong on 1 border
python-pycadf,0.6.0, >=0.8.0; <0.9.0;,The dependency wrong on 1 border
python-netaddr,0.7.14, >=0.7.12;,All OK
python-posix-ipc,0.9.8,Any,All OK
python-barbicanclient,2.2.1, >=3.0.1; <3.1.0;,The dependency wrong on 1 border
alembic,0.6.7, >=0.7.2;,The dependency wrong on 1 border
python-swift,2.2.0,Any,All OK
python-oslo.i18n,1.3.1, <1.6.0; >=1.5.0;,The dependency wrong on 1 border
python-oslosphinx,2.2.0, >=2.5.0; <2.6.0;,The dependency wrong on 1 border
python-oslo.vmware,0.8.0, >=0.11.1; <0.12.0;,The dependency wrong on 1 border
python-taskflow,0.4.0, >=0.7.1; <0.8.0;,The dependency wrong on 1 border
python-pbr,0.10.0, <1.0; >=0.6; !=0.7;,All OK
python-six,1.9.0, >=1.9.0;,All OK
python-kazoo,1.3.1, >=1.3.1;,All OK
python-osprofiler,0.3.0, >=0.3.0;,All OK
python-oslo.messaging,1.4.1, <1.9.0; >=1.8.0;,The dependency wrong on 1 border
python-tooz,0.3, >=0.13.1; <0.14.0;,The dependency wrong on 1 border
python-keystonemiddleware,1.2.0, <1.6.0; >=1.5.0;,The dependency wrong on 1 border
